DATA ZAWARCIA TRANSAKCJI,MIASTO,DZIELNICA,ULICA,RODZAJ RYNKU,CENA NABYCIA,POWIERZCHNIA MIESZKANIA,CENA ZA 1 MKW,POŁOŻENIE NA KONDYGNACJI,OBECNOŚĆ MIEJSCA PARKINGOWEGO,STANDARD,ROK BUDOWY,ROK BUDOWY
2016 10 17,Gdynia, Dąbrowa,Miętowa,RYNEK WTÓRNY,523000,130.15,4987.47598924318,2,MIEJSCE NAZIEMNE,PRZECIĘTNY,40-50,1
2016 10 17,Gdynia, Dąbrowa,Kameliowa,RYNEK WTÓRNY,255000,67.69,4892.18496085094,5,BRAK MP,PRZECIĘTNY,40-50,1
2016 10 17,Gdynia, Działki Leśne,Warszawska,RYNEK WTÓRNY,285000,56.55,6228.82404951371,5,BRAK MP,PRZECIĘTNY,50-60,1
2016 10 17,Gdynia, Kamienna Góra,Bema,RYNEK WTÓRNY,515000,93.95,6515.80627993614,3,BRAK MP,PRZECIĘTNY,30-40,1
2016 10 17,Gdynia, Leszczynki,Gen. Orlicz - Dreszera,RYNEK WTÓRNY,360000,76.45,5796.72988881622,2,BRAK MP,PRZECIĘTNY,70-80,2
2016 10 17,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,776932,150.15,6120.89244089244,1,MIEJSCE NAZIEMNE,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 17,Gdynia, Oksywie,Gen. Wittekówny,RYNEK WTÓRNY,495000,63.98,8880.6502031885,9,BRAK MP,DOBRY,2010,3
2016 10 17,Gdynia, Pustki Cisowskie,Borowikowa,RYNEK WTÓRNY,330000,70.64,5783.01245753114,3,BRAK MP,PRZECIĘTNY,80,2
2016 10 17,Gdynia, Pustki Cisowskie,Rydzowa,RYNEK WTÓRNY,294000,63.76,5756.08531994981,5,BRAK MP,PRZECIĘTNY,80,2
2016 10 17,Gdynia, Pustki Cisowskie,Bzowa,RYNEK WTÓRNY,273000,63.76,5426.7252195734,1,BRAK MP,PRZECIĘTNY,80,2
2016 10 17,Gdynia, Wielki Kack,Zielona Laguna,RYNEK PIERWOTNY,482983.46770551,151.73,4128.1715396132,1,GARAŻ JEDNOSTANOWISKOWY,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 17,Sopot, Sopot,Wybickiego,RYNEK WTÓRNY,575759,91.32,7345.76215505913,4,BRAK MP,DOBRY,30,1
2016 10 17,Sopot, Sopot,Kolberga,RYNEK WTÓRNY,425000,69.55,7227.03091301222,2,BRAK MP,DOBRY,70-80,2
2016 10 17,Gdynia, Śródmieście z Portem,Hryniewickiego,RYNEK WTÓRNY,3000000,150.75,20846.4344941957,3,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,WYSOKI,2015,3
2016 10 18,Gdynia, Wielki Kack,Myśliwska,RYNEK WTÓRNY,440000,94.08,5710.71428571429,5,GARAŻ JEDNOSTANOWISKOWY,PRZECIĘTNY,40-50,1
2016 10 19,Sopot, Sopot,23 Marca,RYNEK WTÓRNY,850000,93.97,10079.557305523,1,BRAK MP,BARDZO DOBRY,2010,3
2016 10 20,Gdynia, Oksywie,Gen. Karpińskiego,RYNEK PIERWOTNY,481432.9866757,91.14,6323.73257269805,5,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 21,Sopot, Sopot,Kościuszki,RYNEK WTÓRNY,650000,141.75,5540.74074074074,2,BRAK MP,PRZECIĘTNY,40-50,1
2016 10 22,Gdynia, Wielki Kack,Starodworcowa,RYNEK WTÓRNY,760000,126.81,6966.70609573377,1,GARAŻ JEDNOSTANOWISKOWY,DOBRY,40-50,1
2016 10 23,Gdynia, Śródmieście z Portem,Abrahama,RYNEK PIERWOTNY,1266425,111.37,12368.8695339858,6,GARAŻ JEDNOSTANOWISKOWY,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2018 01 26,Gdynia, Kamienna Góra,I Armii Wojska Polskiego,RYNEK WTÓRNY,470000,37.88,13788.3843717001,3,BRAK MP,BARDZO DOBRY,80,2
2016 10 25,Sopot, Sopot,Winieckigo,RYNEK WTÓRNY,750000,69.7,11876.0401721664,1,BRAK MP,BARDZO DOBRY,30,1
2016 10 25,Gdynia, Pustki Cisowskie,Borowikowa,RYNEK WTÓRNY,295000,63.76,5771.76913425345,3,BRAK MP,PRZECIĘTNY,80,2
2016 10 26,Sopot, Sopot,Chopina,RYNEK WTÓRNY,1537500,132.04,12610.8149045744,1,BRAK MP,BARDZO DOBRY,40-50,1
2016 10 26,Sopot, Sopot,Żeromskiego,RYNEK WTÓRNY,1400000,127.65,11939.8354876616,2,BRAK MP,BARDZO DOBRY,30,1
2016 10 26,Gdynia, Wzgórze Św. Maksymiliana,Gen. Hallera,RYNEK PIERWOTNY,787037.04,84.47,10377.8032437552,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 26,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,575000,90.85,7371.27132636214,3,BRAK MP,DOBRY,2010,3
2016 10 26,Gdynia, Obłuże,Płk. Dąbka,RYNEK WTÓRNY,288500,77.65,4798.71216999356,4,BRAK MP,PRZECIĘTNY,80,2
2016 10 26,Gdynia, Pogórze,Porębskiego,RYNEK WTÓRNY,300000,70.71,5353.81134210154,5,BRAK MP,PRZECIĘTNY,80,2
2016 10 27,Sopot, Sopot,Żeromskiego,RYNEK WTÓRNY,1050000,131.11,8976.34047746168,4,BRAK MP,DOBRY,30,1
2016 10 27,Sopot, Sopot,Kazimierza Wielkiego,RYNEK WTÓRNY,856500,112.15,8633.25902808738,1,BRAK MP,DOBRY,40-50,1
2016 10 27,Gdynia, Dąbrowa,Sojowa,RYNEK WTÓRNY,550100,98.85,6587.55690440061,1,BRAK MP,PRZECIĘTNY,40-50,1
2016 10 27,Gdynia, Oksywie,Gen. Karpińskiego,RYNEK WTÓRNY,500000,91.16,6526.19569986836,7,BRAK MP,PRZECIĘTNY,2010,3
2016 10 27,Gdynia, Wielki Kack,Zielona Laguna,RYNEK PIERWOTNY,374661.245483288,85.68,5429.56635718123,1,GARAŻ JEDNOSTANOWISKOWY,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 28,Gdynia, Mały Kack,Łowicka,RYNEK PIERWOTNY,378018.01,63.78,7071.84085920351,1,MIEJSCE NAZIEMNE,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 28,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,630000,90.3,8020.3765227021,9,BRAK MP,DOBRY,2010,3
2016 10 28,Gdynia, Karwiny,Staffa,RYNEK WTÓRNY,368000,72.33,6191.95354624637,9,BRAK MP,PRZECIĘTNY,70-80,2
2016 10 28,Gdynia, Karwiny,Tatarczana,RYNEK WTÓRNY,307300,56.85,6592.436235708,6,BRAK MP,PRZECIĘTNY,70-80,2
2016 10 28,Gdynia, Pogórze,Gen. Kleeberga,RYNEK WTÓRNY,280000,60.95,5754.88105004102,5,BRAK MP,PRZECIĘTNY,80,2
2016 10 28,Gdynia, Redłowo,Kisielewskiego,RYNEK WTÓRNY,380000,87.95,5370.77885162024,2,BRAK MP,PRZECIĘTNY,70-80,2
2016 10 31,Gdynia, Mały Kack,Łowicka,RYNEK PIERWOTNY,499074.07,91.56,6491.06673219747,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,30-40,1
2016 10 31,Gdynia, Śródmieście z Portem,Mściwoja,RYNEK WTÓRNY,393000,56.35,8164.68500443656,4,BRAK MP,DOBRY,40-50,1
2017 02 09,Gdynia, Wzgórze Św. Maksymiliana,Wyspiańskiego,RYNEK WTÓRNY,1150000,97.42,12830.3839047424,1,BRAK MP,BARDZO DOBRY,60-70,1
2016 11 08,Gdynia, Działki Leśne,Bydgoska,RYNEK WTÓRNY,1160000,101.3,12468.3119447187,2,MIEJSCE NAZIEMNE,BARDZO DOBRY,2010,3
2016 11 08,Gdynia, Kamienna Góra,Mariacka,RYNEK PIERWOTNY,1602583.53,147.09,11844.8265007818,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Kamienna Góra,Mariacka,RYNEK WTÓRNY,745000,74.95,11033.4889926618,3,BRAK MP,BARDZO DOBRY,30-40,1
2016 11 08,Gdynia, Redłowo,Korczaka,RYNEK WTÓRNY,845000,96.75,9761.24031007752,5,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2010,3
2016 11 08,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,880000,101.36,9698.97395422257,9,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2010,3
2016 11 08,Sopot, Sopot,Ogrodowa,RYNEK WTÓRNY,2335000,145.2,17032.782369146,4,BRAK MP,WYSOKI,60-70,1
2016 11 08,Sopot, Sopot,Lipowa,RYNEK WTÓRNY,950000,76.82,13452.9549596459,2,BRAK MP,BARDZO DOBRY,40-50,1
2016 11 08,Sopot, Sopot,Władysława Łokietka,RYNEK WTÓRNY,1150000,92.75,13436.1185983828,1,BRAK MP,BARDZO DOBRY,2015,3
2016 11 08,Sopot, Sopot,Władysława Łokietka,RYNEK WTÓRNY,1300000,113.55,12442.4482606781,1,BRAK MP,BARDZO DOBRY,2015,3
2016 11 08,Sopot, Sopot,Malczewskiego,RYNEK WTÓRNY,630000,56.75,12288.986784141,1,BRAK MP,BARDZO DOBRY,40-50,1
2016 11 08,Sopot, Sopot,Dworcowa,RYNEK WTÓRNY,1050000,95.15,12066.4214398318,2,BRAK MP,BARDZO DOBRY,40-50,1
2016 11 08,Sopot, Sopot,Bitwy Pod Płowcami,RYNEK WTÓRNY,650000,65.98,10984.9045165202,1,BRAK MP,BARDZO DOBRY,40-50,1
2016 11 08,Gdynia, Śródmieście z Portem,Śląska,RYNEK WTÓRNY,300000,66.35,5653.05199698568,4,BRAK MP,PRZECIĘTNY,40-50,1
2016 11 08,Gdynia, Śródmieście z Portem,3 Maja,RYNEK WTÓRNY,550000,103.88,6306.35348479014,4,BRAK MP,PRZECIĘTNY,40-50,1
2016 11 08,Gdynia, Śródmieście z Portem,Wójta Radtkego,RYNEK WTÓRNY,565000,106.35,6319.51104842501,3,BRAK MP,PRZECIĘTNY,40-50,1
2016 12 23,Gdynia, Orłowo,Al. Zwycięstwa,RYNEK WTÓRNY,485000,93.05,6248.68350349275,5,BRAK MP,PRZECIĘTNY,40-50,1
2016 11 08,Gdynia, Kamienna Góra,I Armii Wojska Polskiego,RYNEK PIERWOTNY,824965.44,87.24,10508.4530032095,4,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Mały Kack,Kłajpedzka,RYNEK WTÓRNY,849000,117.45,8215.92166879523,2,BRAK MP,DOBRY,2010-2015,3
2016 11 08,Gdynia, Mały Kack,Leśna,RYNEK PIERWOTNY,870531.02,125.16,7931.12032598274,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Mały Kack,Parkowa,RYNEK WTÓRNY,660000,96.65,7856.38903259183,3,BRAK MP,DOBRY,2010-2015,3
2016 11 08,Gdynia, Mały Kack,Strzelców,RYNEK PIERWOTNY,761045.37,111.79,7804.61016191073,4,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Mały Kack,Strzelców,RYNEK WTÓRNY,925000,136.95,7714.93245710113,4,BRAK MP,DOBRY,2010-2015,3
2016 11 08,Gdynia, Orłowo,Inżynierska,RYNEK PIERWOTNY,695925.92,97.65,8152.03195084485,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Orłowo,Bukowa,RYNEK PIERWOTNY,602777.78,82.47,8375.81884321572,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Orłowo,Bernadowska,RYNEK PIERWOTNY,584212.96,76.52,8722.2812336644,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Orłowo,Spacerowa,RYNEK PIERWOTNY,1640819.35,135.73,13050.9345759965,2,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Sopot, Sopot,Władysława IV,RYNEK WTÓRNY,1000000,101.02,10916.8085527618,1,BRAK MP,BARDZO DOBRY,30,1
2016 11 08,Gdynia, Wzgórze Św. Maksymiliana,Gen. Hallera,RYNEK PIERWOTNY,685185.19,111.91,7119.23143597534,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Pustki Cisowskie,Modrzewiowa,RYNEK WTÓRNY,725000,121.14,6966.41901931649,4,BRAK MP,DOBRY,2010,3
2016 11 08,Gdynia, Grabówek,Komandorska,RYNEK WTÓRNY,415000,63.42,7690.57079785557,2,MIEJSCE NAZIEMNE,DOBRY,2010,3
2016 11 08,Gdynia, Kamienna Góra,Bema,RYNEK WTÓRNY,815000,104.93,8776.74640236348,5,BRAK MP,DOBRY,30-40,1
2016 11 08,Gdynia, Mały Kack,Olgierda,RYNEK WTÓRNY,750000,116.36,7434.58233069783,2,BRAK MP,DOBRY,2010-2015,3
2016 11 08,Gdynia, Mały Kack,Strzelców,RYNEK PIERWOTNY,451486.72,73.66,7228.00325821341,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,660824.4,121.65,6413.02424989725,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,741272,136.12,6407.34645900676,1,GARAŻ JEDNOSTANOWISKOWY,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Pogórze,Uranowa,RYNEK WTÓRNY,220000,65.05,4520.21521906226,1,BRAK MP,NISKI,80,2
2018 02 19,Gdynia, Orłowo,Al. Zwycięstwa,RYNEK WTÓRNY,210000,42.25,6291.12426035503,1,BRAK MP,PRZECIĘTNY,40-50,1
2018 03 01,Gdynia, Orłowo,Al. Zwycięstwa,RYNEK WTÓRNY,300000,44.15,8093.31823329558,1,BRAK MP,DOBRY,40-50,1
2016 11 08,Gdynia, Pustki Cisowskie,Modrzewiowa,RYNEK WTÓRNY,440000,78.47,6687.60035682426,1,BRAK MP,PRZECIĘTNY,2010,3
2016 11 08,Gdynia, Redłowo,Kopernika,RYNEK WTÓRNY,960000,115.05,9335.41938287701,4,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,DOBRY,2010,3
2016 11 08,Gdynia, Redłowo,Korczaka,RYNEK WTÓRNY,605000,98.56,7161.60714285714,5,BRAK MP,DOBRY,70-80,2
2016 11 08,Sopot, Sopot,Zacisze,RYNEK WTÓRNY,1325000,136.05,10700.7717750827,2,BRAK MP,BARDZO DOBRY,30,1
2016 11 08,Sopot, Sopot,Gen. Józefa Bema,RYNEK WTÓRNY,1330000,137.15,10657.8199052133,3,BRAK MP,BARDZO DOBRY,40-50,1
2016 11 08,Sopot, Sopot,23 Marca,RYNEK WTÓRNY,700000,76.95,10182.7160493827,3,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2010,3
2016 11 08,Sopot, Sopot,Chmielewskiego,RYNEK WTÓRNY,800000,92.42,9694.17874918849,4,BRAK MP,BARDZO DOBRY,40-50,1
2016 11 08,Sopot, Sopot,Gen. Józefa Bema,RYNEK WTÓRNY,860000,106.15,9108.99670277909,4,BRAK MP,DOBRY,40-50,1
2016 11 08,Sopot, Sopot,Sobieskiego,RYNEK WTÓRNY,1000000,127.2,8834.59119496856,3,BRAK MP,DOBRY,30,1
2016 11 08,Sopot, Sopot,Wybickiego,RYNEK WTÓRNY,880000,112.95,8785.83444001771,1,BRAK MP,DOBRY,30,1
2016 11 08,Sopot, Sopot,Jagiełły,RYNEK WTÓRNY,1185000,152.25,8727.75041050903,2,BRAK MP,DOBRY,40-50,1
2016 11 08,Sopot, Sopot,Andersa,RYNEK WTÓRNY,820000,107.64,8622.37086584913,4,BRAK MP,DOBRY,40-50,1
2016 11 08,Gdynia, Śródmieście z Portem,3 Maja,RYNEK WTÓRNY,463000,76.2,7164.82939632546,5,BRAK MP,DOBRY,40-50,1
2016 11 08,Gdynia, Śródmieście z Portem,Waszyngtona,RYNEK WTÓRNY,600000,92.49,7525.05135690345,4,BRAK MP,DOBRY,40-50,1
2016 11 08,Gdynia, Śródmieście z Portem,Pl. Kaszubski,RYNEK PIERWOTNY,972222.22,144.49,7680.9067755554,8,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,681944.44,92.46,8413.50248756219,2,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,40-50,1
2016 11 08,Gdynia, Wielki Kack,Gryfa Pomorskiego,RYNEK WTÓRNY,355000,60.85,6995.56285949055,3,BRAK MP,DOBRY,40-50,1
2016 11 08,Gdynia, Witomino,Poprzeczna,RYNEK WTÓRNY,440000,92.85,5775.76736672052,1,BRAK MP,PRZECIĘTNY,70-80,2
2017 01 20,Gdynia, Wzgórze Św. Maksymiliana,Batalionów Chłopskich,RYNEK WTÓRNY,750000,72.74,11413.1427000275,2,GARAŻ JEDNOSTANOWISKOWY,BARDZO DOBRY,60-70,1
2016 11 08,Gdynia, Pogórze,Steyera,RYNEK WTÓRNY,295000,78.68,4828.97813929842,3,BRAK MP,PRZECIĘTNY,80,2
2018 07 12,Gdynia, Wzgórze Św. Maksymiliana,Partyzantów,RYNEK WTÓRNY,400000,40.73,11160.9133316965,4,BRAK MP,BARDZO DOBRY,60-70,1
2016 11 08,Gdynia, Pogórze,Gen. Kleeberga,RYNEK WTÓRNY,245000,63.76,4987.57841907152,5,BRAK MP,PRZECIĘTNY,80,2
2016 11 08,Sopot, Sopot,Władysława IV,RYNEK WTÓRNY,735000,109.83,7692.47018118911,2,BRAK MP,DOBRY,30,1
2016 11 08,Gdynia, Cisowa,Kcyńska,RYNEK WTÓRNY,275500,72.69,4892.72252029165,8,BRAK MP,PRZECIĘTNY,80,2
2016 11 08,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,465000,116.95,4964.17272338606,4,BRAK MP,PRZECIĘTNY,40-50,1
2016 11 08,Gdynia, Działki Leśne,Szczecińska,RYNEK WTÓRNY,270000,58.72,5772.75204359673,5,BRAK MP,PRZECIĘTNY,50-60,1
2016 11 08,Gdynia, Grabówek,Beniowskiego,RYNEK WTÓRNY,679000,118.66,6707.63526040789,2,BRAK MP,PRZECIĘTNY,60-70,1
2016 11 08,Gdynia, Grabówek,Morska,RYNEK WTÓRNY,320000,72.75,5501.03092783505,4,BRAK MP,PRZECIĘTNY,60-70,1
2016 11 08,Gdynia, Grabówek,Okrzei,RYNEK WTÓRNY,335000,77.65,5397.55312298777,1,BRAK MP,PRZECIĘTNY,60-70,1
2016 11 08,Gdynia, Grabówek,Morska,RYNEK WTÓRNY,400000,118.86,4350.39542318694,3,BRAK MP,NISKI,60-70,1
2016 11 08,Gdynia, Karwiny,Staffa,RYNEK WTÓRNY,339000,65.45,6315.66080977846,3,BRAK MP,PRZECIĘTNY,70-80,2
2016 11 08,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,619445.56,119.48,6168.64378975561,1,MIEJSCE NAZIEMNE,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 11 08,Gdynia, Obłuże,Płk. Dąbka,RYNEK WTÓRNY,360000,77.65,5719.51062459755,3,BRAK MP,PRZECIĘTNY,80,2
2016 11 08,Gdynia, Obłuże,Boisko,RYNEK WTÓRNY,350000,65.85,6449.20273348519,1,BRAK MP,PRZECIĘTNY,2015,3
2016 11 08,Gdynia, Obłuże,Bosmańska,RYNEK WTÓRNY,450000,67.35,7808.16629547142,2,BRAK MP,DOBRY,80,2
2016 11 08,Gdynia, Pustki Cisowskie,Rydzowa,RYNEK WTÓRNY,295000,63.76,5771.76913425345,4,BRAK MP,PRZECIĘTNY,80,2
2016 11 08,Gdynia, Cisowa,Zbożowa,RYNEK WTÓRNY,231000,65.57,4658.47186213207,8,BRAK MP,PRZECIĘTNY,80,2
