DATA ZAWARCIA TRANSAKCJI,MIASTO,DZIELNICA,ULICA,RODZAJ RYNKU,CENA NABYCIA,POWIERZCHNIA MIESZKANIA,CENA ZA 1 MKW,POŁOŻENIE NA KONDYGNACJI,OBECNOŚĆ MIEJSCA PARKINGOWEGO,STANDARD,ROK BUDOWY,ROK BUDOWY
2016 10 04,Sopot, Sopot,Chopina,RYNEK WTÓRNY,2450000,143.91,17977.4025432562,3,BRAK MP,WYSOKI,40-50,1
2016 10 04,Sopot, Sopot,Władysława Łokietka,RYNEK WTÓRNY,1500000,113.31,14232.1772129556,4,BRAK MP,WYSOKI,2015,3
2016 10 04,Sopot, Sopot,Haffnera,RYNEK WTÓRNY,1235000,106.67,12584.0067497891,2,BRAK MP,BARDZO DOBRY,40-50,1
2016 10 04,Sopot, Sopot,Krótka,RYNEK WTÓRNY,1100000,109.78,11020.4408817635,3,BRAK MP,BARDZO DOBRY,40-50,1
2016 10 04,Gdynia, Śródmieście z Portem,Starowiejska,RYNEK WTÓRNY,650000,114.35,6676.69435942283,2,BRAK MP,PRZECIĘTNY,40-50,1
2016 10 04,Gdynia, Redłowo,Legionów,RYNEK WTÓRNY,838000,116.04,8211.23750430886,9,BRAK MP,DOBRY,70-80,2
2016 10 04,Gdynia, Chwarzno-Wiczlino,Jachtowa,RYNEK PIERWOTNY,420370.37,115.03,4645.69564461445,1,MIEJSCE NAZIEMNE,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 04,Gdynia, Witomino,Promienna,RYNEK WTÓRNY,700000,106.14,7602.33653664971,3,BRAK MP,DOBRY,70-80,2
2016 10 07,Sopot, Sopot,3 Maja,RYNEK WTÓRNY,1050000,84.7,13456.4344746163,3,BRAK MP,BARDZO DOBRY,40-50,1
2016 10 10,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,665770.35,118.92,6583.47082071981,1,GARAŻ JEDNOSTANOWISKOWY,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 11,Gdynia, Pustki Cisowskie,Chabrowa,RYNEK WTÓRNY,513000,91.9,6621.5451577802,2,BRAK MP,PRZECIĘTNY,40-50,1
2016 10 11,Sopot, Sopot,Sobieskiego,RYNEK WTÓRNY,925000,109.45,9452.35267245318,1,BRAK MP,DOBRY,30,1
2016 10 11,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,767177.78,108.63,8064.82352941177,4,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,40-50,1
2016 10 15,Sopot, Sopot,Parkowa,RYNEK WTÓRNY,1150000,118.45,10694.4702406079,1,BRAK MP,BARDZO DOBRY,30,1
2016 10 16,Gdynia, Kamienna Góra,Mariacka,RYNEK PIERWOTNY,1084112.15,117.74,10194.5315950399,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 17,Gdynia, Orłowo,Świerkowa,RYNEK WTÓRNY,870000,85.27,11260.8889410109,3,MIEJSCE POSTOJOWE W HALI GARAŻOWEJ,BARDZO DOBRY,2010,3
2016 12 23,Gdynia, Orłowo,Adwokacka,RYNEK WTÓRNY,515000,53.5,10837.3831775701,2,GARAŻ JEDNOSTANOWISKOWY,BARDZO DOBRY,80,2
2016 10 17,Sopot, Sopot,Parkowa,RYNEK WTÓRNY,1900000,102.31,19586.0424200958,4,BRAK MP,WYSOKI,30,1
2016 10 17,Sopot, Sopot,Wybickiego,RYNEK WTÓRNY,1400000,101.58,14798.8186650916,1,BRAK MP,WYSOKI,30,1
2016 10 17,Sopot, Sopot,Polna,RYNEK WTÓRNY,855000,64.56,14384.2627013631,2,BRAK MP,WYSOKI,2010,3
2016 10 17,Sopot, Sopot,Pułaskiego,RYNEK WTÓRNY,1500000,119.43,13543.8667001591,3,BRAK MP,BARDZO DOBRY,30,1
2016 10 17,Sopot, Sopot,Bolesława Chrobrego,RYNEK WTÓRNY,1150000,93.95,13274.7205960617,2,BRAK MP,BARDZO DOBRY,40-50,1
2016 10 17,Sopot, Sopot,Władysława Łokietka,RYNEK WTÓRNY,1400000,117.56,12895.9510037428,1,BRAK MP,BARDZO DOBRY,2015,3
2016 10 17,Sopot, Sopot,Pułaskiego,RYNEK WTÓRNY,730000,73.35,11052.2154055896,2,BRAK MP,BARDZO DOBRY,30,1
2016 10 17,Gdynia, Śródmieście z Portem,Abrahama,RYNEK WTÓRNY,500000,115.85,5305.8264997842,5,BRAK MP,PRZECIĘTNY,40-50,1
2016 10 17,Gdynia, Orłowo,Bernadowska,RYNEK PIERWOTNY,1081062.24,135.43,8944.88842944695,1,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 17,Sopot, Sopot,Chopina,RYNEK WTÓRNY,900000,90.65,10970.9873138445,3,BRAK MP,BARDZO DOBRY,40-50,1
2016 10 17,Sopot, Sopot,Kordeckiego,RYNEK WTÓRNY,845000,85.62,10926.1387526279,2,BRAK MP,BARDZO DOBRY,40-50,1
2016 10 17,Gdynia, Chwarzno-Wiczlino,Kańskiego,RYNEK WTÓRNY,610000,87.05,8060.19529006318,2,BRAK MP,DOBRY,2015,3
2016 10 17,Gdynia, Dąbrowa,Rdestowa,RYNEK WTÓRNY,560000,93.85,7001.38518913159,4,BRAK MP,DOBRY,2010,3
2016 10 17,Gdynia, Kamienna Góra,Bema,RYNEK WTÓRNY,550000,90.32,7133.03808680248,3,BRAK MP,DOBRY,30-40,1
2016 10 17,Gdynia, Mały Kack,Strzelców,RYNEK PIERWOTNY,660000,100.3,7599.60119641077,3,BRAK MP,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 17,Gdynia, Mały Kack,Parkowa,RYNEK PIERWOTNY,717593.11,118.92,7019.24915909855,1,GARAŻ JEDNOSTANOWISKOWY,DEWELOPERSKI/DO WYKOŃCZENIA,2016-2018,3
2016 10 17,Gdynia, Pogórze,Żelazna,RYNEK WTÓRNY,195000,62.25,4285.9437751004,4,BRAK MP,NISKI,80,2
2016 10 17,Gdynia, Redłowo,Korczaka,RYNEK WTÓRNY,580000,80.91,8240.36583858608,2,BRAK MP,DOBRY,70-80,2
2016 10 17,Sopot, Sopot,Mickiewicza,RYNEK WTÓRNY,550000,67.05,9330.94705443699,3,BRAK MP,DOBRY,60-70,1
2016 10 17,Sopot, Sopot,Sobieskiego,RYNEK WTÓRNY,900000,115.98,8749.64649077427,3,BRAK MP,DOBRY,30,1
2016 10 17,Sopot, Sopot,Krasickiego,RYNEK WTÓRNY,560000,76.6,8397.91122715405,2,BRAK MP,DOBRY,40-50,1
2016 10 17,Gdynia, Śródmieście z Portem,Mściwoja,RYNEK WTÓRNY,555000,88.75,7301.40845070423,5,BRAK MP,DOBRY,40-50,1
2018 04 11,Gdynia, Orłowo,Al. Zwycięstwa,RYNEK WTÓRNY,240000,48.75,6174.35897435897,3,BRAK MP,PRZECIĘTNY,40-50,1
2016 10 17,Gdynia, Cisowa,Chylońska,RYNEK WTÓRNY,295000,63.77,5770.98949349224,4,BRAK MP,PRZECIĘTNY,80,2
2016 10 17,Gdynia, Pustki Cisowskie,Chabrowa,RYNEK WTÓRNY,399000,84.17,5801.7821076393,5,BRAK MP,PRZECIĘTNY,40-50,1
